Country Name,Country Code,Year,Year Code,Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS],Prevalence of current tobacco use (% of adults) [SH.PRV.SMOK],"Prevalence of current tobacco use, females (% of female adults) [SH.PRV.SMOK.FE]","Prevalence of current tobacco use, males (% of male adults) [SH.PRV.SMOK.MA]","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age) [SH.ALC.PCAP.FE.LI]","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age) [SH.ALC.PCAP.MA.LI]"
Denmark,DNK,2017,YR2017,..,..,..,..,..,..,..
Denmark,DNK,2018,YR2018,..,18.6,18.7,18.4,10.26,4.86,15.78
Denmark,DNK,2019,YR2019,8.3,..,..,..,..,..,..
Djibouti,DJI,2017,YR2017,..,..,..,..,..,..,..
Djibouti,DJI,2018,YR2018,..,..,..,..,0.43,0.12,0.75
Djibouti,DJI,2019,YR2019,5.1,..,..,..,..,..,..
Dominica,DMA,2017,YR2017,..,..,..,..,..,..,..
Dominica,DMA,2018,YR2018,..,..,..,..,11.18,4.57,18.07
Dominica,DMA,2019,YR2019,11.6,..,..,..,..,..,..
Dominican Republic,DOM,2017,YR2017,..,..,..,..,..,..,..
Dominican Republic,DOM,2018,YR2018,..,9.4,7.5,11.2,6.68,2.81,10.66
Dominican Republic,DOM,2019,YR2019,8.6,..,..,..,..,..,..
Early-demographic dividend,EAR,2017,YR2017,..,..,..,..,..,..,..
Early-demographic dividend,EAR,2018,YR2018,..,25.64550589,9.789639056,41.55317902,3.892436163,1.411423039,6.322282746
Early-demographic dividend,EAR,2019,YR2019,10.09091053,..,..,..,..,..,..
East Asia & Pacific,EAS,2017,YR2017,..,..,..,..,..,..,..
East Asia & Pacific,EAS,2018,YR2018,..,26.09752334,3.808844797,48.51724586,6.430730189,2.779650838,10.02935884
East Asia & Pacific,EAS,2019,YR2019,8.202460904,..,..,..,..,..,..
East Asia & Pacific (excluding high income),EAP,2017,YR2017,..,..,..,..,..,..,..
East Asia & Pacific (excluding high income),EAP,2018,YR2018,..,26.69591959,3.103981634,50.36369992,6.194505725,2.616929068,9.698231077
East Asia & Pacific (excluding high income),EAP,2019,YR2019,8.488061856,..,..,..,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,2017,YR2017,..,..,..,..,..,..,..
