Country Name,Country Code,Year,Year Code,ARI treatment (% of children under 5 taken to a health provider) [SH.STA.ARIC.ZS],Children with fever receiving antimalarial drugs (% of children under age 5 with fever) [SH.MLR.TRET.ZS],Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding) [SH.STA.ORCF.ZS],Diarrhea treatment (% of children under 5 who received ORS packet) [SH.STA.ORTH],"Incidence of malaria (per 1,000 population at risk) [SH.MLR.INCD.P3]","Incidence of tuberculosis (per 100,000 people) [SH.TBS.INCD]",Intermittent preventive treatment (IPT) of malaria in pregnancy (% of pregnant women) [SH.MLR.IPTP.ZS],Malaria cases reported [SH.STA.MALR],"Tuberculosis case detection rate (%, all forms) [SH.TBS.DTEC.ZS]","Tuberculosis death rate (per 100,000 people) [SH.TBS.MORT]",Tuberculosis treatment success rate (% of new cases) [SH.TBS.CURE.ZS],Use of insecticide-treated bed nets (% of under-5 population) [SH.MLR.NETS.ZS]
Comoros,COM,2017,YR2017,..,..,..,..,3.968595265,35,..,3230,45,8.6,94,..
Comoros,COM,2018,YR2018,..,..,..,..,18.75836515,35,..,15613,42,9,..,..
Comoros,COM,2019,YR2019,..,..,..,..,..,35,..,..,..,9.3,..,..
"Congo, Dem. Rep.",COD,2017,YR2017,..,..,..,..,329.1286545,322,..,16793002,57,58,90,..
"Congo, Dem. Rep.",COD,2018,YR2018,34.2,..,30.8,24.1,319.8410165,321,13.4,16972207,63,50,93,51
"Congo, Dem. Rep.",COD,2019,YR2019,..,..,..,..,..,320,..,..,64,49,..,..
"Congo, Rep.",COG,2017,YR2017,..,..,..,..,240.6366563,376,..,127939,52,57,66,..
"Congo, Rep.",COG,2018,YR2018,..,..,..,..,235.0743074,375,..,116903,54,55,62,..
"Congo, Rep.",COG,2019,YR2019,..,..,..,..,..,373,..,..,59,52,..,..
Costa Rica,CRI,2017,YR2017,..,..,..,..,0.006926471,9.6,..,12,80,0.81,92,..
Costa Rica,CRI,2018,YR2018,80.3,..,59.6,56.3,0.040004458,10,..,70,80,0.69,88,..
Costa Rica,CRI,2019,YR2019,..,..,..,..,..,10,..,..,80,0.63,..,..
Cote d'Ivoire,CIV,2017,YR2017,..,..,..,..,362.3648106,148,..,3475953,58,23,83,..
Cote d'Ivoire,CIV,2018,YR2018,..,..,..,..,330.5981605,142,..,4766477,59,22,84,..
Cote d'Ivoire,CIV,2019,YR2019,..,..,..,..,..,137,..,..,60,21,..,..
Croatia,HRV,2017,YR2017,..,..,..,..,..,10,..,..,87,1.4,66,..
Croatia,HRV,2018,YR2018,..,..,..,..,..,10,..,..,87,1.1,29,..
Croatia,HRV,2019,YR2019,..,..,..,..,..,8,..,..,90,0.96,..,..
Cuba,CUB,2017,YR2017,..,..,..,..,..,7.2,..,..,87,0.32,82,..
Cuba,CUB,2018,YR2018,..,..,..,..,..,7.2,..,..,87,0.32,82,..
Cuba,CUB,2019,YR2019,..,..,..,..,..,6.5,..,..,87,0.32,..,..
Curacao,CUW,2017,YR2017,..,..,..,..,..,6.4,..,..,87,0.53,..,..
Curacao,CUW,2018,YR2018,..,..,..,..,..,6.4,..,..,..,0.53,..,..
Curacao,CUW,2019,YR2019,..,..,..,..,..,7.2,..,..,..,0.59,..,..
Cyprus,CYP,2017,YR2017,..,..,..,..,..,5.1,..,..,87,0.26,67,..
Cyprus,CYP,2018,YR2018,..,..,..,..,..,4.9,..,..,87,0.26,59,..
Cyprus,CYP,2019,YR2019,..,..,..,..,..,5.3,..,..,100,0.26,..,..
Czech Republic,CZE,2017,YR2017,..,..,..,..,..,5.4,..,..,87,0.34,69,..
Czech Republic,CZE,2018,YR2018,..,..,..,..,..,4.7,..,..,87,0.34,67,..
Czech Republic,CZE,2019,YR2019,..,..,..,..,..,4.9,..,..,87,0.34,..,..
Denmark,DNK,2017,YR2017,..,..,..,..,..,5.1,..,..,87,0.31,39,..
Denmark,DNK,2018,YR2018,..,..,..,..,..,5.4,..,..,87,0.31,16,..
Denmark,DNK,2019,YR2019,..,..,..,..,..,5,..,..,89,0.31,..,..
Djibouti,DJI,2017,YR2017,..,..,..,..,20.72178068,272,..,14671,80,29,85,..
Djibouti,DJI,2018,YR2018,..,..,..,..,35.20855496,260,..,25319,80,28,84,..
Djibouti,DJI,2019,YR2019,..,..,..,..,..,234,..,..,80,25,..,..
Dominica,DMA,2017,YR2017,..,..,..,..,..,1.6,..,..,87,4.1,100,..
Dominica,DMA,2018,YR2018,..,..,..,..,..,6.4,..,..,87,4.2,100,..
Dominica,DMA,2019,YR2019,..,..,..,..,..,16,..,..,87,4.2,..,..
Dominican Republic,DOM,2017,YR2017,..,..,..,..,0.060267689,46,..,283,80,2.8,74,..
Dominican Republic,DOM,2018,YR2018,..,..,..,..,0.120266945,45,..,571,80,2.3,76,..
Dominican Republic,DOM,2019,YR2019,..,..,..,..,..,42,..,..,80,1.8,..,..
Early-demographic dividend,EAR,2017,YR2017,72.66260943,12.93678936,41.47367463,..,14.61283628,..,..,..,..,..,..,..
Early-demographic dividend,EAR,2018,YR2018,..,..,..,..,12.46901274,..,..,..,..,..,..,..
Early-demographic dividend,EAR,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..
East Asia & Pacific,EAS,2017,YR2017,..,..,..,..,3.510273794,135,..,..,67,9.8,89,..
East Asia & Pacific,EAS,2018,YR2018,..,..,..,..,2.883252518,133,..,..,74,9.2,87,..
East Asia & Pacific,EAS,2019,YR2019,..,..,..,..,..,130,..,..,74,8.8,..,..
East Asia & Pacific (excluding high income),EAP,2017,YR2017,..,..,..,..,3.521551754,146,..,..,67,11,89,..
East Asia & Pacific (excluding high income),EAP,2018,YR2018,..,..,..,..,2.892328574,144,..,..,74,9.9,88,..
East Asia & Pacific (excluding high income),EAP,2019,YR2019,..,..,..,..,..,141,..,..,74,9.4,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,2017,YR2017,..,..,..,..,3.550098858,..,..,..,..,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,2018,YR2018,..,..,..,..,2.915873382,..,..,..,..,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..
Ecuador,ECU,2017,YR2017,..,..,..,..,2.60669563,43,..,1275,80,3.8,74,..
Ecuador,ECU,2018,YR2018,..,..,..,..,3.320357225,44,..,1653,80,3.6,..,..
Ecuador,ECU,2019,YR2019,..,..,..,..,..,46,..,..,80,3.3,..,..
"Egypt, Arab Rep.",EGY,2017,YR2017,..,..,..,..,0,13,..,0,64,0.43,86,..
"Egypt, Arab Rep.",EGY,2018,YR2018,..,..,..,..,0,12,..,0,68,0.43,86,..
"Egypt, Arab Rep.",EGY,2019,YR2019,..,..,..,..,..,12,..,..,69,0.43,..,..
El Salvador,SLV,2017,YR2017,..,..,..,..,0,72,..,0,80,1,90,..
El Salvador,SLV,2018,YR2018,..,..,..,..,0,70,..,0,80,0.99,91,..
El Salvador,SLV,2019,YR2019,..,..,..,..,..,58,..,..,80,0.93,..,..
Equatorial Guinea,GNQ,2017,YR2017,..,..,..,..,285.7232284,181,..,15725,63,19,75,..
Equatorial Guinea,GNQ,2018,YR2018,..,..,..,..,269.0092791,181,..,8962,56,24,65,..
Equatorial Guinea,GNQ,2019,YR2019,..,..,..,..,..,181,..,..,63,24,..,..
Eritrea,ERI,2017,YR2017,..,..,..,..,33.96765326,99,..,54005,61,18,92,..
Eritrea,ERI,2018,YR2018,..,..,..,..,28.87977486,89,..,46440,61,16,93,..
Eritrea,ERI,2019,YR2019,..,..,..,..,..,86,..,..,61,16,..,..
Estonia,EST,2017,YR2017,..,..,..,..,..,15,..,..,87,1.8,80,..
Estonia,EST,2018,YR2018,..,..,..,..,..,13,..,..,87,0.98,83,..
Estonia,EST,2019,YR2019,..,..,..,..,..,13,..,..,87,0.98,..,..
Eswatini,SWZ,2017,YR2017,..,..,..,..,2.29880678,502,..,724,60,30,86,..
Eswatini,SWZ,2018,YR2018,..,..,..,..,0.842354065,441,..,268,60,34,90,..
Eswatini,SWZ,2019,YR2019,..,..,..,..,..,363,..,..,69,22,..,..
Ethiopia,ETH,2017,YR2017,..,..,..,..,36.74142904,164,..,1530739,67,25,96,..
Ethiopia,ETH,2018,YR2018,..,..,..,..,31.81495011,151,..,962087,69,22,88,..
Ethiopia,ETH,2019,YR2019,..,..,..,..,..,140,..,..,71,19,..,..
